Timestamp,You're Currently On,Gender,Age,Current CGPA,How many hours do you spend on studying per week?,How many credits are you currently enrolled in?,Do you participate in extracurricular activities?,"If yes, how many hours per week?",Do you have a part-time job? (Including Tuition),"If yes, how many hours per week?",How would you rate your stress level this semester?,How would you rate your anxiety level?,How many hours of sleep do you get per night?(On Average),How would you rate your overall sleep quality?
8/21/2025 23:02:04,1st Year,Female,20,,7,,Yes,,Yes,8,5,5,6,6
8/21/2025 23:11:48,4th Year,Male,24,2.88,20,20,No,,Yes,36,4,4,5,6
8/21/2025 23:20:27,2nd Year,Male,23,3.4,10,60,Yes,10,No,10,1,1,10,1
8/21/2025 23:28:43,3rd Year,Male,22,3.9,5,13,Yes,8,No,,5,4,4,7
8/21/2025 23:34:01,2nd Year,Male,22,3,14,13,No,,No,,3,3,6,5
8/21/2025 23:35:35,3rd Year,Male,23,3.83,10,12,Yes,1,Yes,12,4,5,7,6
8/21/2025 23:38:07,4th Year,Female,24,2.91,30,,Yes,5,No,,3,2,6,4
8/21/2025 23:38:23,3rd Year,Female,21,,4,12,Yes,2,No,,4,4,4,1
8/21/2025 23:41:16,3rd Year,Male,23,3.3,49,68,Yes,16,No,,5,5,6,10
8/21/2025 23:44:15,2nd Year,Male,23,3.25,3,,No,,Yes,23,3,4,7,5
8/21/2025 23:47:18,4th Year,Female,23,2.96,4,9,Yes,3,No,,3,5,8,2
8/21/2025 23:50:05,3rd Year,Male,23,2.5,10,11,No,,Yes,50,5,3,6,2
8/22/2025 0:14:35,2nd Year,Male,23,2.56,1,148,No,,No,,3,4,2,1
8/22/2025 0:52:08,3rd Year,Female,22,2.73,12,15,No,,Yes,16,3,2,7,2
8/22/2025 5:05:45,3rd Year,Male,23,3.92,20,21,No,,Yes,8,3,2,6,7
8/22/2025 11:12:56,3rd Year,Female,22,2.89,10,11,No,,No,,4,3,,7
8/22/2025 11:16:46,3rd Year,Female,24,,8,90,Yes,3,No,,3,4,5,2
8/22/2025 11:22:02,1st Year,Male,19,3,10,20,No,,Yes,56,1,2,8,3
8/22/2025 11:26:19,4th Year,Male,25,3.33,6,11,Yes,3,No,,4,5,5,1
8/22/2025 11:47:56,3rd Year,Female,22,3.3,14,15,No,,No,,4,4,7,3
8/22/2025 12:07:50,4th Year,Male,25,2.67,5,14,Yes,1,Yes,5,5,5,5,6
8/22/2025 12:57:33,3rd Year,Male,23,2.8,2,67,No,,No,,5,4,8,8
8/22/2025 13:29:53,4th Year,Female,23,3.59,5,124,Yes,2,Yes,1.5,4,5,8,8
8/22/2025 13:50:43,3rd Year,Female,24,3.15,16,84,No,,Yes,9,5,5,6,2
8/22/2025 13:52:11,2nd Year,Female,23,2.38,34,27,No,,No,,5,5,7,4
8/22/2025 13:52:48,3rd Year,Male,22,2,1,91,No,1,Yes,3,3,3,4,4
8/22/2025 14:21:44,3rd Year,Male,22,3.72,5,12,Yes,6,Yes,4,4,3,7,8
8/22/2025 14:22:30,3rd Year,Male,23,3.5,12,13,No,,Yes,10,5,4,6,6
8/22/2025 14:24:19,3rd Year,Male,23,3.06,3,19.5,No,,No,,3,4,6.5,2
8/22/2025 14:24:46,3rd Year,Male,23,3.15,1,19,Yes,5,Yes,12,1,1,7,9
8/22/2025 14:30:53,3rd Year,Male,24,3.2,20,77,Yes,4,No,,4,3,4,5
8/22/2025 14:39:35,3rd Year,Male,23,,30,,No,,Yes,9,3,4,5,6
8/22/2025 14:48:55,3rd Year,Male,25,3.98,7,15,Yes,10,Yes,14,5,5,5,3
8/22/2025 14:55:32,,Male,23,3.21,30,32,No,,Yes,21,3,3,7,2
8/22/2025 15:06:01,2nd Year,Female,21,3.4,2,7,,,No,,3,3,9,9
8/22/2025 15:07:48,2nd Year,Male,22,3.4,6,11,Yes,3,Yes,9,4,5,6,4
8/22/2025 15:19:21,2nd Year,Male,23,2.78,5,10.5,Yes,7,Yes,20,4,5,5,5
8/22/2025 15:28:27,3rd Year,Male,24,3.52,25,21,No,,Yes,25,5,4,6,6
8/22/2025 16:12:14,3rd Year,Male,23,3.24,5,83,No,,No,,4,3,5,5
8/22/2025 16:18:04,3rd Year,Male,23,,7,12,Yes,7,Yes,10,3,3,,3
8/22/2025 16:19:31,3rd Year,Male,23,3,7,14,Yes,3,No,1,5,5,7,5
8/22/2025 16:32:00,3rd Year,Female,24,3.53,25,12,Yes,3,Yes,7,4,5,4.5,4
8/22/2025 16:32:59,3rd Year,Female,22,3.62,21,12,No,,No,,5,5,5,7
8/22/2025 16:38:09,,Female,22,3.71,12,120,Yes,1,Yes,6,5,5,5,4
8/22/2025 16:48:52,3rd Year,Male,24,3.39,24,76.5,Yes,5,No,,5,5,4,5
8/22/2025 16:51:38,3rd Year,Male,22,2.5,2,,No,,No,,2,2,3,7
8/22/2025 16:56:49,3rd Year,Male,22,,15,,Yes,1,Yes,3,4,3,5,2
8/22/2025 17:14:54,3rd Year,Male,22,3.89,7,14.5,No,,Yes,30,4,4,5,6
8/22/2025 17:15:37,3rd Year,Female,23,,2,69,Yes,3,No,,5,5,5,3
8/22/2025 17:16:29,3rd Year,Male,21,3.76,2,14.5,No,,Yes,25,4,4,4,5
8/22/2025 17:27:45,3rd Year,Female,22,3.9,10,71,No,,No,,4,4,6,3
8/22/2025 18:03:34,4th Year,Male,23,3.7,1,,No,,Yes,6,3,3,6,6
8/22/2025 18:31:18,1st Year,Female,21,,6,9,No,,No,,3,3,5,5
8/22/2025 18:42:57,3rd Year,Male,22,3.9,20,12,Yes,6,Yes,20,5,5,5,3
8/22/2025 18:43:46,3rd Year,Male,23,4,2,,No,,No,,5,5,,10
8/22/2025 19:17:09,1st Year,Female,21,3,12,10,No,,No,,5,5,5,3
8/22/2025 19:26:50,4th Year,Female,21,1.48,28,21,Yes,2,No,,5,3,3,1
8/22/2025 19:36:50,4th Year,Male,24,4,5,12,Yes,20,Yes,20,4,2,6,6
8/22/2025 20:03:41,3rd Year,Female,23,3,10,7,No,,Yes,2,4,4,6,2
8/22/2025 20:04:06,2nd Year,Male,23,3.36,6,20,No,,Yes,5,4,4,6,8
8/22/2025 20:07:55,3rd Year,Female,24,3.88,6,21,Yes,20,No,,2,2,5,7
8/22/2025 20:43:34,2nd Year,Male,22,3.17,4,16,Yes,28,Yes,5,5,1,8,10
8/22/2025 20:52:06,3rd Year,Male,24,3.67,28,21,Yes,20,Yes,20,3,3,7,8
8/22/2025 20:57:10,1st Year,Female,21,3.57,80,12,No,,Yes,12,5,5,2,4
8/22/2025 21:12:14,3rd Year,Male,25,3.28,25,12,Yes,8,Yes,24,4,2,7,5
8/22/2025 21:47:47,4th Year,Female,23,3.5,7,5,No,,Yes,42,5,3,4,2
8/22/2025 22:50:08,3rd Year,Male,21,3.17,10,18,Yes,6,No,,3,,5,6
8/22/2025 22:50:51,2nd Year,Male,23,,1,11,No,,No,,2,5,4,1
8/23/2025 2:45:50,3rd Year,Male,23,2.8,5,87,No,,No,,4,4,6,4
8/23/2025 6:04:06,3rd Year,Male,23,3.16,6,14.5,Yes,10,No,,5,5,4,3
8/23/2025 10:03:06,2nd Year,Female,24,3.29,2,50,No,,Yes,3,3,2,6,5
8/23/2025 16:31:21,3rd Year,Male,22,2.95,20,102,Yes,4,Yes,8,5,4,6,9
8/23/2025 17:14:19,2nd Year,Female,22,2.75,4,63.5,No,,No,,2,2,7,2
8/23/2025 17:47:07,3rd Year,Male,23,2.5,7,65,No,,,,5,5,8,1
8/23/2025 21:29:28,4th Year,Male,24,3.72,10,,Yes,5,Yes,25,3,2,5,6
8/23/2025 22:26:38,3rd Year,Male,22,3.71,7,12,Yes,3,Yes,20,4,5,5,3
8/23/2025 23:07:27,4th Year,Female,24,3.93,4,12,No,,Yes,16,4,4,8,8
8/24/2025 9:38:50,3rd Year,Male,23,3.67,12,13.5,No,,Yes,56,3,3,6,7
8/24/2025 9:40:31,3rd Year,Male,24,3.13,28,14,No,,No,,3,3,7,5
8/24/2025 12:32:41,3rd Year,Male,22,3.5,10,,No,,No,,4,4,4,2
8/24/2025 15:45:17,3rd Year,Male,22,3.3,2,20,No,,No,,5,5,10,3
8/25/2025 14:46:59,2nd Year,Male,22,3.1,3,48,No,1,Yes,10,5,5,4,1